Addr,Score
"
서울 동작구 만양로8길 2
(지번) 노량진동 215-128
",0.0
"
서울 동작구 흑석로13가길 25
(지번) 흑석동 188
",5.0
"
서울 동작구 서달로14길 34 1층
(지번) 흑석동 43-3
",4.9
"
서울 동작구 상도로47길 18 1층
(지번) 상도동 464-10
",0.0
"
서울 동작구 장승배기로19길 26
(지번) 노량진동 302-177
",4.5
"
서울 동작구 만양로 19 신동아아파트 상가동 1층
(지번) 노량진동 325
",0.0
"
서울 동작구 상도로22길 34
(지번) 상도동 196-56
",3.8
"
서울 동작구 서달로12길 13
(지번) 흑석동 97-42
",4.0
"
서울 동작구 성대로1길 3
(지번) 상도동 346-11
",3.1
"
서울 동작구 양녕로25길 6
(지번) 상도동 210-44
",5.0
"
서울 동작구 흑석로13마길 65-9 1층
(지번) 흑석동 190-21
",3.3
"
서울 동작구 장승배기로10길 7
(지번) 상도동 369-13
",3.5
"
서울 동작구 상도로49길 7
(지번) 상도동 465-16
",0.0
"
서울 동작구 상도로62길 45
(지번) 상도동 490
",0.0
"
서울 동작구 상도로61길 35 1층
(지번) 상도동 505-8
",4.3
"
서울 동작구 상도로15길 104 1층
(지번) 상도동 359-3
",4.4
"
서울 동작구 노량진로 250-1
(지번) 본동 126-44
",4.0
"
서울 동작구 장승배기로 118-1 1층
(지번) 노량진동 309-18
",5.0
"
서울 동작구 상도로60길 2
(지번) 상도동 494-13
",5.0
"
서울 동작구 노량진로 254
(지번) 본동 48-12
",4.8
"
서울 동작구 성대로1길 1 2층
(지번) 상도동 346-9
",4.1
"
서울 동작구 상도로61길 37
(지번) 상도동 505-9
",3.4
"
서울 동작구 상도로15길 131 1층 b101호
(지번) 상도동 363-164
",5.0
"
서울 동작구 서달로14나길 10
(지번) 흑석동 51-3
",4.0
"
서울 동작구 서달로 157 1층
(지번) 흑석동 100-46
",3.5
"
서울 동작구 상도로34길 27
(지번) 상도동 155-7
",0.0
"
서울 동작구 장승배기로 44-1 1층
(지번) 상도동 204-74
",1.0
"
서울 동작구 상도로62길 37
(지번) 상도동 492-13
",3.0
"
서울 동작구 상도로15길 3
(지번) 상도동 348-147
",3.7
"
서울 동작구 흑석로 22
(지번) 상도동 7-84
",0.0
"
서울 동작구 상도로67길 32 1층
(지번) 상도동 505-7
",5.0
"
서울 동작구 상도로15길 42
(지번) 상도동 354-12
",5.0
"
서울 동작구 노량진로16길 16
(지번) 노량진동 95
",3.3
"
서울 동작구 양녕로22가길 67 1층
(지번) 상도동 214-291
",0.0
"
서울 동작구 현충로 94 2층
(지번) 흑석동 6-10
",3.7
"
서울 동작구 장승배기로 69
(지번) 상도동 181-13
",0.0
"
서울 동작구 상도로47마길 8
(지번) 상도1동 436
",0.0
"
서울 동작구 양녕로25길 2
(지번) 상도동 209-23
",0.0
"
서울 동작구 노량진로16길 27
(지번) 노량진동 90-8
",3.2
"
서울 동작구 서달로12가길 13
(지번) 흑석동 95-12
",5.0
"
서울 동작구 흑석로 102 중앙대학교병원 본관 지하 1층
(지번) 흑석동 224-1
",2.7
"
서울 동작구 만양로 7-6
(지번) 상도동 22-88
",0.0
"
서울 동작구 상도로60길 6 1층
(지번) 상도동 493-9
",5.0
"
서울 동작구 장승배기로10길 17
(지번) 상도동 373-20
",0.0
"
서울 동작구 흑석로 13
(지번) 상도1동 497
",0.0
"
서울 동작구 노량진로 148-5
(지번) 노량진동 72-16
",3.5
"
서울 동작구 노량진로26길 3-2
(지번) 본동 48-16
",4.0
"
서울 동작구 상도로61길 35 1층
(지번) 상도동 505-8
",4.5
"
서울 동작구 장승배기로 56
(지번) 상도동 184-4
",0.0
"
서울 동작구 서달로12나길 2 1층
(지번) 흑석동 54-149
",4.4
"
서울 동작구 흑석로 111-6
(지번) 흑석동 181-14
",5.0
"
서울 동작구 상도로67길 32 1층
(지번) 상도동 505-7
",5.0
"
서울 동작구 노들로 674 노량진수산시장 5층 2호
(지번) 노량진동 334
",
"
서울 동작구 노량진로14길 9 1층
(지번) 노량진동 58
",5.0
"
서울 동작구 매봉로 134
(지번) 본동 481
",0.0
"
서울 동작구 양녕로27길 23 1층
(지번) 상도동 210-91
",0.0
"
서울 동작구 만양로 26
(지번) 상도동 414
",0.0
"
서울 동작구 상도로47가길 27
(지번) 상도1동 365-1
",0.0
"
서울 동작구 상도로61길 34
(지번) 상도동 504-6
",3.5
"
서울 동작구 상도로37길 77
(지번) 상도동 478
",0.0
"
서울 동작구 노량진동 15-15

",1.0
"
서울 동작구 만양로14길 13 1층
(지번) 노량진동 119-149
",5.0
"
서울 동작구 흑석로13길 4 1층
(지번) 흑석동 180-3
",5.0
"
서울 동작구 흑석로 102
(지번) 흑석동 224-1
",0.0
"
서울 동작구 노량진로 140
(지번) 노량진동 57-1
",2.3
"
서울 동작구 상도로 124 1층
(지번) 상도동 355-7
",4.2
"
서울 동작구 흑석로 102
(지번) 흑석동 224-1
",0.0
"
서울 동작구 장승배기로 37
(지번) 상도동 201-1
",1.0
